user_id	level	avgtime	cishu	timecha	type1num	type2num	type1tuinum	type2tuinum
10008066	4	30.00 	74	699	2	0	0	0
10512696	5	65.00 	124	684	4	1	0	0
10548977	5	31.67 	116	683	1	0	0	0
10651240	5	87.50 	88	678	3	0	2	0
10735345	4	63.33 	66	672	2	2	0	0
11068846	4	60.83 	89	647	6	1	2	0
11188448	5	5.00 	40	639	2	0	0	0
11947451	4	13.75 	240	567	1	1	0	0
12037641	2	57.50 	4	560	2	0	0	0
12127857	4	17.50 	98	554	2	2	0	0
12913593	3	68.57 	7	520	2	0	0	0
12961025	4	66.67 	85	518	2	0	0	0
13659646	3	13.00 	8	480	3	1	0	0
13692063	4	48.75 	95	478	1	0	0	0
13699693	4	15.00 	35	478	1	1	0	0
14584710	4	43.75 	70	412	1	0	0	0
14631267	4	38.75 	118	410	1	0	0	0
14787971	4	18.57 	100	402	2	1	0	0
14959464	4	125.71 	98	396	2	2	0	0
15118084	4	47.50 	106	389	1	0	0	0
15135199	5	89.29 	66	389	2	1	0	0
15359598	2	45.00 	80	381	3	1	0	0
15379394	4	95.00 	29	381	1	0	0	0
15797511	4	30.00 	35	374	1	0	0	0
15869037	5	27.14 	100	373	2	2	0	0
1592093	2	57.00 	5	1892	3	0	0	0
16254968	5	17.50 	101	366	2	0	0	0
16288288	5	23.33 	93	365	1	0	0	0
16568113	4	52.50 	55	360	1	0	0	0
16585564	3	6.67 	38	360	2	0	0	0
16597583	4	16.25 	41	360	1	0	0	0
1672572	5	62.00 	114	1837	1	0	0	0
16762797	7	112.86 	280	358	1	1	0	0
16787766	4	47.14 	117	357	1	0	0	0
16799785	1	22.50 	7	357	1	1	0	0
16904169	3	77.50 	8	356	2	1	0	0
17106653	4	31.67 	62	353	2	0	0	0
17284628	5	34.29 	158	351	1	0	0	0
17485472	0	5.00 	5	349	1	0	0	0
17523223	4	8.75 	38	349	2	0	0	0
17592908	4	49.17 	134	348	1	1	0	0
18182294	4	40.00 	130	343	1	1	0	0
18698964	4	131.43 	110	338	2	1	0	0
18770826	3	40.00 	91	337	1	0	0	0
19094268	4	60.00 	51	334	1	0	0	0
19183100	4	30.00 	84	332	2	2	0	0
19663384	4	13.33 	26	321	3	0	0	0
19725117	4	100.71 	64	319	3	2	0	0
19975878	4	52.50 	80	312	1	0	0	0
20348961	4	30.00 	63	302	1	1	0	0
20383135	3	79.17 	7	301	3	1	3	1
20596089	4	13.75 	24	296	2	1	0	0
20699416	3	68.33 	6	293	1	1	0	0
20792572	5	46.25 	82	291	1	6	0	0
20988327	3	25.83 	8	287	3	2	0	0
21430566	4	78.00 	116	280	2	0	0	0
2167509	4	126.67 	75	1535	1	1	0	0
2173956	5	20.00 	86	1530	2	0	0	0
2181733	4	51.25 	66	1526	1	0	0	0
22044186	4	65.00 	97	262	1	0	0	0
2208144	4	37.50 	106	1514	1	1	0	0
2258005	2	5.00 	25	1492	1	0	0	0
22775812	1	10.00 	7	236	1	3	0	0
23232151	4	76.25 	107	219	3	1	0	0
23634742	2	25.00 	59	204	1	1	0	0
23681698	4	62.50 	56	203	2	0	0	0
24321666	4	98.33 	100	182	1	0	0	0
24485046	3	103.00 	8	177	5	3	0	0
24764395	4	73.57 	132	169	2	6	0	0
24781643	1	35.00 	3	168	1	0	0	0
24894483	4	11.25 	58	166	1	0	0	0
25049514	4	47.86 	78	161	2	1	0	0
25111282	4	25.00 	67	158	1	0	0	0
25233110	5	145.00 	141	155	2	0	0	0
25342163	4	120.00 	84	153	6	1	0	0
26566204	3	67.50 	19	134	2	0	0	0
2680063	4	152.50 	88	1371	2	1	0	0
26936021	2	36.00 	7	133	2	0	0	0
27153497	5	93.57 	86	133	2	0	0	0
2780793	4	11.25 	73	1321	1	0	0	0
2791650	1	66.67 	32	1313	2	1	0	0
28210919	0	20.00 	4	132	3	1	0	0
28518464	2	8.75 	22	132	2	0	0	0
28551721	4	27.50 	34	132	3	0	0	0
28785402	1	23.33 	3	132	2	0	0	0
2893577	3	67.50 	56	1265	2	0	0	0
3047353	6	29.29 	46	1199	2	0	0	0
3150911	5	78.33 	38	1163	1	0	0	0
3174641	4	43.33 	39	1157	5	0	0	0
3316188	4	29.00 	90	1122	1	1	0	0
3340814	4	17.86 	75	1117	1	0	0	0
34430784	2	50.00 	8	128	4	6	1	0
3552942	5	32.50 	132	1087	1	0	0	0
3592905	4	52.50 	53	1083	3	0	0	0
3810185	4	37.00 	64	1070	7	1	3	0
38973424	4	56.67 	56	124	1	0	0	0
39338341	6	70.00 	77	124	1	1	0	0
42675989	4	122.14 	70	117	4	1	0	0
4333458	3	45.00 	31	1047	1	1	0	0
45182453	3	63.75 	26	104	3	2	0	0
45753485	0	15.00 	4	100	3	1	0	0
4662388	2	50.00 	7	1020	4	0	1	0
46724345	7	143.57 	116	89	2	3	0	0
47377410	1	52.50 	5	80	1	0	0	0
47909277	4	89.29 	33	70	3	1	0	0
48139481	3	73.57 	9	66	3	1	0	0
48144122	4	5.00 	9	65	2	0	0	0
48306081	5	115.83 	70	61	2	1	0	0
48438570	4	52.50 	42	58	2	1	0	0
48519112	5	8.75 	36	56	1	0	0	0
48678922	5	70.83 	35	52	2	6	0	0
49036076	5	17.50 	9	37	2	2	0	0
49054003	4	85.71 	27	37	6	3	3	1
49222941	4	72.50 	40	31	1	6	0	0
49330552	4	103.57 	19	29	3	1	0	0
49344384	4	111.43 	19	29	2	0	0	0
49353547	4	90.71 	19	28	2	0	0	0
49370851	4	72.14 	24	28	1	3	0	0
49394525	4	99.29 	19	28	4	2	0	0
49456650	3	65.83 	9	26	3	1	0	0
49537220	2	43.33 	7	24	4	1	0	0
49556428	4	110.71 	7	23	3	0	0	0
49596755	4	78.57 	19	22	1	4	0	0
49716238	3	61.00 	8	20	5	1	2	0
49751308	0	20.00 	3	19	1	2	0	1
49753485	3	98.33 	7	19	2	1	0	0
49816688	3	98.33 	6	17	3	0	0	0
49853480	3	40.00 	9	16	2	0	0	0
49868698	3	98.57 	7	16	1	1	0	0
49893443	2	38.00 	8	15	2	0	0	0
49909130	4	113.57 	24	15	2	2	0	0
49909277	3	67.50 	8	15	3	20	0	0
49928674	3	7.50 	6	14	4	1	1	0
50063001	2	39.17 	7	11	2	7	0	0
50115963	2	48.75 	8	9	2	7	0	0
50132371	1	25.00 	6	8	1	16	0	0
50162156	2	55.00 	9	7	3	12	0	0
50182939	2	54.00 	6	7	4	0	0	0
50214327	1	46.25 	3	6	3	18	0	0
