Obverse,Reverse,tag
31.fact,"fact=do，make做，作（fact也作fac）
factory        [fact作，制作，-ory名词后缀，表示场所，地点；制作的场所]工厂，制造厂
manufacture      [manu手，fact作，制作；用手制作，古时生产用手操作]制造，加工
It is manufactured by hand. 这是手工制造的。
manufacturer      [见上，-er表示人]制造者，制造商，工厂主
manufactory       [见上，-ory表示场所]制造厂，工厂
benefactor        [bene-好，fact做，-or表示人；做好事者]施恩者，恩人，捐助者
The chieftain of that country is disguised as a benefactor this time.那个国家的首领这一次伪装出一副施恩者的姿态。
benefaction       [见上，-ion名词后缀]施恩，行善，善行，捐助物
malefactor        [male-恶，坏，fact做，-or者；做坏事者]作恶者，坏分子，犯罪分子
malefaction       [见上，-ion名词后缀]犯罪的行为，坏事
factitious         [fact做，itious形容词后缀，属于…的；做作出来的]人为的，做作的，不自然的
facsimile         [fac做，simil相似；作出相似的东西，作出与原物相似之物]摹写，摹真本
This is a facsimile edition of an eighteenth century book. 这是一本18世纪书籍的复制版。
facile            [fac做，-ile形容词后缀，易…的]易做到的，易得到的
a facile solution to a problem 治标不治本的解决办法
facility           [见上，-ity名词后缀；易做]容易，便利
The machine is only servicing facilities. 这部机器只是辅助设备。
facilitate         [见上， -ate动词后缀，使…]使容易做，使容易，使便利，促进
Tractors facilitate farming. 拖拉机使耕作便利。
fact             [fact做；已经做出的事]事实
factual          [见上，-ual形容词后缀，…的]事实的，实情的，真实的
This is a factual account of the war. 这是一篇有关这场战争的真实报道。
facture          [fact作，制作，-ure名词后缀]制作，制作法
",root
32.fer,"fer=bring，carry带拿
confer          [con共同，一起，fer拿；把意见“拿到一起来”]协商，商量，交换意见
Jogging will confer striking benefits. 慢跑会带来明显益处。
conference      [见上，-ence名词后缀]协商会，讨论会，会议，会谈，讨论
I'll have a conference with the manager. 我要和经理商谈一下。
differ           [dif-分开，fer拿，持；分开拿，分取，各持已见，各执一词→互异]不同，相异，意见不同
The two brothers differed about politics. 这兄弟俩政见不同。
difference       [见上，-ence名词后缀]相异，差别，差异，不同
Our differences were at last hammered out in discussion. 我们的分歧最后通过讨论消除了。
different         [见上，-ent形容词后缀，…的]不同的，相异的
differential       [见上，-ial形容词后缀，...的]不同的，差别的，区别的
There is a price differential between different types of oil. 不同种类的油有价格差异。
differentiate      [见上，-ate动词后缀，使…]使不同，区分，区别
He cannot differentiate the two flowers. 他无法辨认这两种花。
differentiation    [见上，-ation名词后缀]区别，分别
offer            [of-向，向前，fer拿;’拿到前面来”]提出，提供，奉献，贡献
offering         [见上，-ing名词后缀，表示行为，物]提供，捐献物
prefer           [pre-先，fer拿，取;对某物先取，先选，宁愿先要某事物]宁可，宁愿(选择)， 更喜欢…，偏爱…
preferable        [见上，-able形容词后缀，可…的]更可取的，更好的
Health without riches is preferable to riches without health.有健康而无财富比有财富而无健康更好。
preference       [见上，-ence名词后缀]优先，偏爱，优先权
My preference is that we (should) challenge the other groups to a friendly competition.我喜欢向别的组挑战, 来一个友谊竞赛。
preferential       [见上，-ial形容词后缀，…的]代先的，优待的
This hotel gives preferential treatment to people who stay in it regularly.
旅馆给那些常客优惠待遇。
transfer          [trans-越过，转过，fer拿;’拿过去”]转移，传递，传输，转让
transference      [见上，-ence名词后缀]转移，传递，转让
floriferous        [flor花，-i-，fer带有，-ous形容词后缀，…的]有花的，多花的
aquiferous        [aqu水，-i-，fer带有，-ous形容词后缀，…的]含水的
cruciferous       [cruc十字形，-i-，fer带有，-ous形容词后缀，…的]
",root
33.flor,"flor=flower花(flor也作flour)
florist            [flor花，-ist表示人]种花者，花卉研究者
floral             [flor花，-al形容词后缀，…的]花的，如花的
There's a floral pattern on the curtain. 窗帘上有花卉图案。
florid             [flor花，-id如…的]如花的，鲜艳的，华丽的，绚丽的
Tears were flowing over his florid face. 他通红的脸上淌着眼泪。
floridity           [见上，-ity名词后缀]绚丽，华丽
floriculture        [flor花，-i-，culture培养]养花，种花，花卉，栽培，花艺
floriculturist       [见上，-ist表示人]养花者，花匠，花卉，栽培家
defloration        [de-除去，去掉，毁掉，flor花，-ation名词后缀]摘花，采花，奸污处女
uniflorous         [uni单独，一个，flor花，-ous形容词后缀，…的]单花的
multiforous        [multi-多，flor花，-ous形容词后缀，…的]有花的，多花的
floret             [flor花，-et表示小]小花
floriferous         [flor花，-i-，fer带有，-ous形容词后缀，…的]有花的，多花的
effloresce         [el出→开出，flor花，-esce动词后缀]开花
efflorescence      [见上，-escence名词后缀]开花，开花期
flourish           [flour花，-ish动词后缀;’如开花一样”]繁荣，茂盛，兴旺，昌盛
He flourished his stick at the boy.他朝那个男孩挥舞棍棒。
flourishing         [见上，-ing形容词后缀，…的]茂盛的，兴旺的，欣欣向荣的
His business seemed to be flourishing. 他的生意似乎很兴隆。
reflourish         [re-再，见上]再繁荣，再兴旺
noctiflorous        [nocti夜，flor花，-ous形容词后缀，…的](植物)夜间开花的
",root
34.flu,"flu=flow流
fluent             [flu流，-ent形容词后缀，…的]流动的，流畅的，(语言)流利的
She is fluent in five languages. 她通晓五种语言。
fluency           [flu流，-ency名词后缀]流利，流畅
Fluency in spoken English is essential. 能讲一口流利的英语很重要。
influence          [in-入，flu流，-ence名词后缀;流入→波及→对周围事物产生影响]影响，感动，势力;[转为动词]感化，影响，对…有作用，左右
influential         [见上，-ial形容词后缀，…的]有影响的，施以影响的
He is a very influential man in the government. 他在政府中是个很有影响的人物。
uninfluential       [un-不，无，见上]不产生影响的，没有影响的
influenza         [见上，影响→感染]流行性感冒
confluent         [con-共同，flu流，-ent形容词后缀，…的]合流的，汇合的
confluence       [见上，-ence名词后缀]合流，汇合，合流点，汇合处，汇流而成的河
fluid             [flu流-id形容词后缀，…的]流动的，流体的，液体的;[转为名词]流体，液
The weather is fluid in summer. 夏天天气多变。
fluidity           [见上，ity名词后缀]流动性，流度
refluent          [re-回，反，flu流，-ent形容词后缀，…的]倒流的，退潮的
refluence        [见上，-ence名词后缀]倒流，逆流，回流，退潮
defluent          [de-向下，flu流，-ent形容词后缀，…的]向下流的
circumfluent      [circum-周围，flu流，-ent形容词后缀，…的]周流的，环流的
effluent          [ei-外，出，flu流，-ent形容词后缀，…的]流出的，发出的
Dangerous effluent from some chemical plants is being poured into the river through the town.几家化学工厂排出的有害废水正流入通过我们市镇的河里。
superfluous      [super-超过→过多，flu流，-ous形容词后缀，…的]过剩的，多余的
superfluity       [见上，-ity名词后缀]过剩，多余，奢侈
superfluid        [super-超，fluid流体]超流体
interfluent        [inter-互相，flu流，-ent形容词后缀，…的]交流的;[inter-中间，flu流，-ent形容词后缀，…的]流在中间的
flux             [flux=flu流]流，流出，流动，变动
fluxion           [见上，-ion名词后缀]流动，流出物，变动
fluxional         [见上，-al形容词后缀，…的]流动的，变动的
afflux            [af-表示to，flux流]流向，流入
reflux            [re-回，反，flux流]回流;倒流，逆流
influx            [in-入，flux流]流入
",root
35.fus,"fus=pour灌，流，倾泻
refuse           [re-回，fus流;流回→倒灌，倒流→退回→不接纳]拒绝，拒受
Refuse is collected twice a week. 垃圾每周收两次。
refusal          [见上，-al名词后缀]拒绝
The plan was doomed to fail by their refusal to give it any financial support.
由于他们拒绝给予任何资助, 该计划注定要失败。
confuse   [con-共同，合，fus流;合流，流到一处→混在一起]使混杂，混乱，混淆，使迷乱
Many people are confused about the new ways of measuring temperature.许多人都搞不清测定温度的新方法。
confusion        [见上，-ion名词后缀]混乱，混乱状态，骚乱
His answers to my questions have only added to my confusion.他对我的问题的回答只是使我更加困惑不解。
transfuse        [trans-越过，转移，fus流，注入;转流过去，移注过去]移注，灌输，输(血)，给…输血(将某人血液移注于另一人)
transfusion       [见上，-ion名词后缀]移注，输血
infuse           [in-入，内，fus流，灌注;’流入”](向…)注入，灌输
His arrival infused new life and energy into the team.
他的到来为这支队伍注入了新的生命力和活力。
infuser          [见上，-er表示物]注入器
infusion         [见上，-ion名词后缀]灌输
diffuse          [dif-分开，散开，fus流;分开流，散开流→到处流]散开，传播，(使)散开
Direct light is better for reading than diffuse light.直射光比漫射光更有利于阅读。
diffusion        [见上，-ion名词后缀]散开，扩散，弥漫，传布
interfuse        [inter-互相，fus灌，流;互灌，互流→合流](使)混合，(使)融合，渗透
interfusion       [见上，-ion名词后缀]混合，融合，渗透
affusion         [af-表示at，to，fus灌，注]注水，注水法，灌水法
perfuse          [per-贯穿，全，fus流]泼洒，灌注，使充满
profuse         [pro-向前，fus流，泻;’随意倾泻了的，流走了的，流掉了的]浪费的，挥霍的，过多的，充沛的
profusion        [见上，-ion名词后缀]浪费，奢侈，挥霍，丰富，充沛
",root
36.grad,"grad=step，go，grade步，走，级
gradual         [grad步，-ual形容词后缀，…的]逐步的，逐渐的
The doctor noticed a gradual improvement in his patient. 医生注意到病人在逐渐恢复健康。
retrograde       [retro-向后，grad步，行走;向后走]后退，退步，逆行
retrogradation    [见上，-ation名词后缀]后退，退步，逆行
graduate        [grad步，级，-u-，-ate动词后缀;在学业上走完某一步，在学业上完成某一级]毕业;[转为]毕业生
The university graduated 1500 students last year.该大学去年有1500位学生毕业。
graduation       [见上，-ation名词后缀]毕业
His graduation will never take place if he doesn’t get to work.他要是不用功就永远毕不了业。
undergraduate    [under-低于，不够，不到，graduate毕业生]未毕业者，大学肄业生
This is a course for undergraduates. 这是为本科生开的一门课。
postgraduate     [post-后，在…之后，见上]大学毕业后的;研究生
The university has two halls of residence for its postgraduate students.
这所大学有两座研究生宿舍。
degrade         [de-下，向下，grad步，走，级;往下走，降级]下降，堕落，退化，使降级
Don't degrade yourself by answering him. 不要自贬身分去搭理他。
degradation       [见上，-ation名词后缀]堕落，退化，降级，贬黜
Gambling is always coupled with degradation. 赌博总是与堕落相联系。
grade            等级，年级，级别，阶段，程度
The milk is sold in grades. 牛奶分等级出售。
gradation         [见上，-ation名词后缀]等级，分等，分级
upgrade          [up上，grad步，级]上升，升级，提升，上坡
They upgraded the land by improving it with new buildings.
他们建造新楼房来提高土地的等级。
downgrade       [down下，grad步，级]降低，贬低，降级，下坡
She was downgraded to assistant manager. 她被降职为助理经理。
gradine           [grad步，级→阶梯，-ine名词后缀]阶梯的一级，阶梯座位的一排
",root
37.gram,"gram=write，something written of drawn 写，画，文字，图形
grammar         [gram写，文字，m重复字母，-ar名词后缀;关于文字的法则]语法，文法
grammarian       [见上，-ian名词后缀，表示人]语法学家，文法家
grammatical       [见上，-atical形容词后缀，…的]语法的，属于语法上的
He can barely form a grammatical sentence. 他几乎造不出合乎语法的句子。
diagram          [dia-对穿，gram画;’上下左右对穿画线”]图解，图表
The engineer drew a diagram of the bridge. 工程师绘制了一幅这座桥的示意图。
diagrammatic      [见上，-atic形容词后缀，…的]图表的，图解的
telegram          [tele远，gram写，文字;’从远方通过电波传来的文字”]电报
program           [pro-在前面，gram写-书，表，单;写在前面的说明文字]节目单，戏单，说明书，大纲，方案
Please program the computer to give me more information.
请给计算机编制程序以给我更多的信息。
cryptogram        [crypto隐，秘密，gram写，文字]密码，密码文，暗记
parallelogram      [parallel平行的，gram图形;对边平行的图形]平等四边形
gram              [gram写→刻写;在重量计上所刻写的一个符号→重量单位]克
kilogram           [kilo-千，gram克]千克，公斤
Apple costs five dollars a kilogram. 苹果每千克5美元。
gramophone       [gram写→记录，-o-，phon声音;记录声音的仪器]留声机
phonogram        [phon声音，-o-，gram文字]音标文字，表音符号;唱片，录音片
hologram         [holo全，gram画，图形]全息图
He added that the missing hologram should have been detected by electronic surveillance. 他还说，电子监视设备本应该发现漏印了全息防伪标志。
seismogram       [seismo地震，gram画，图形]地震图
electrocardiogram  [elector电，cardi心，-o-gram图]心电图
",root
38.graph,"graph=write，writing，an instrument for making records 写，画，文字，图形，记录器
photograph       [photo光，影，graph写→记录;把实物的影像录下来]照相，摄影，照片
phototgraphy      [见上，-y名词后缀]摄影术
autograph        [auto-自己，grahp写;自己写的，亲自写的]新笔，手稿
I have got lots of famous footballers’ autographs. 我有许多著名足球运动员的亲笔签名。
geography        [geo地，大地，graph写→论述，-y名词后缀;关于大地的论述]地理学，地理
biograph          [bio生命，graph写，文字→论述，-y 名词后缀；一人生平的记录]传记
autobiography     [auto-自己，biography传记]自传
The series was based on the autobiographies of the author.
这部连续剧是根据那位作家的自传拍摄的。
ideograph         [ideo意，graph写，文字]表意文字，意符
historiography     [histori历史，-o-，graph写，编写]编史工作
orthography       [ortho正，graph写，写字]正字法
monograph       [mono-单一，一种，graph写，论述]专题论文，专题著作
The scholarly monographs were published as pamphlet. 学术专著是以小册子形式出版的。
pseudograph     [pseudo-假，伪，graph写，文字→作品]伪书，冒名作品
polygraph        [poly-多，graph写，写作，书写器]多产作家，复写器
micrograph       [micro-微小，graph图形]显微图，微观图
macrograph      [macro-宏大，graph图形]宏观图，肉眼图
seismograph      [seismo地震，graph记录器]地震记录仪
barograph        [baro重，压→气压，graph记录器]气压记录器
chronograph      [chrono时，graph记录器]记时器，录时器
stereograph       [setreo立体，graph画→图像→照片]立体照片
telegraph         [tele远，graph写，文字;从远方通过电波传来的文字]电报; [graph书写机]电报机
cyclograph        [cyclo圆，graph画描器]画圆器，圆弧规
holography        [holo-全，graphy描画，描记法]全息摄影(术)
graphics          [graph画，图，-ics…学]制图学，制图法
",root
39.gress,"gress=go，walk行走
progress          [pro-向前，gress行走]前进，进步
The work is progressing steadily. 工作在稳步地取得进展。
progressive       [见上，-ive形容词后缀，…的]前进的，进步的
This is a progressive course in English study. 这是英语学习的渐进课程。
progressist        [见上，-ist表示人]进步分子
retrogress         [retro-向后，gress行走]后退，退步，退化
Deviate from socialism and China will inevitably retrogress to semi-feudalism and semi-colonialism. 中国离开社会主义就必然退回到半封建半殖民地。
retrogression      [见上，-ion名词后缀]倒退，退步，退化
retrogressive      [见上，-ive形容词后缀，…的]后退的，退步的，退化的
congress         [con-共同，一起，gress走，来到;大家走到一起来→共聚一堂→开会→会议](代表)大会，国会，议会
There were some days to wait before the Congress. 大会的召开还有几天时间。
congressional     [见上](代表)大会的，国会的，议会的
congressman     [见上]国会议员
aggress          [ag-=at，to向，gress走→来到→副近→闯来→进攻]侵略，侵入，攻击
aggression       [见上，-ion名词后缀]侵略，入侵
The military exercise was condemned as an act of aggression.
这次军事演习被谴责为一种挑衅。
aggressive       [见上，-ive形容词后缀，…的]侵略的
The dogs are trained to be aggressive. 这些狗被训练得具有攻击性。
aggressor        [见上，-or表示人]侵略者
The treaty was to the aggressor’s advantage. 条约对侵略者有利。
egress           [e-外，出，gress行走]出去，离去，外出
I guessed, by his preparations, that egress was allowed, and, leaving my hard couch, made a movement to follow him.看他作的准备，我猜他允许我走了，我离开我的硬座，打算跟他走。
egression        [见上，-ion名词后缀]出去，离去，外出
ingress           [in-入内，gress行走]进入
ingression        [见上，-ion名词后缀]进入
transgress        [trans超过，gress行走]超过(限度.范围等)，越界，违反，犯法
You transgressed against the law. 你犯法了。
transgressor      [见上，-or表示人]犯法者，违反者
digress           [di-=dis-离开，gress行走;’离正道而行”]离开主题，入歧路
Let me digress for a moment and explain what had happened previously.让我岔开一会儿,解释原先发生了什么。
regress           [re-回，向后，gress行]退回，返回，退后，退步
She had to get out of this place before she regressed to infancy.她必须趁还没有退化到幼儿状态之前赶紧离开这个地方。
",root
40.habit,"habit=dwell居住
habitable        [habit居住，-able形容词后缀，可…的]可居住的
This house is no longer habitable. 这所房子已经不能住人了。
habitant         [habit居住，-ant表示人]居住者
habitation       [habit居住，-ation名词后缀]居住
The broken-down old house was not fit for human habitation.这栋破烂的老房子不适合居住。
inhabit          [in-表示in，habit居住]居住于，栖居于
Woodpeckers inhabit hollow trees. 啄木鸟栖息在中空的树中。
inhabitable      [见上，-able形容词后缀，可…的]可居住的，可栖居的
inhabitancy      [见上，-ancy表示情况，状态]居住，有人居住的状态
inhabitant       [见上，-ant表示人]居民，住户，常住居民
The tapeworm is an inhabitant of the intestine. 绦虫是栖居肠内的寄生虫。
inhabitation     [见上， -ation名词后缀]居住，栖居
cohabit         [co-共同，habit居住](男女)同居，姘居
cohabitant      [见上，-ant表示人]同居者
conhabitation    [见上，-ation名词后缀]同居
",root
